GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CarRentalSystem,com.carrental,App,5,3,0,0,2,1,1,1,1,1
CarRentalSystem,com.carrental.dto,CarDTO,0,73,0,0,0,31,0,21,0,21
CarRentalSystem,com.carrental.dto,BookingDTO,0,63,0,0,0,25,0,17,0,17
CarRentalSystem,com.carrental.models,User,0,59,0,0,0,26,0,17,0,17
CarRentalSystem,com.carrental.models,Insurance,0,54,0,0,0,19,0,13,0,13
CarRentalSystem,com.carrental.models,Booking,0,96,0,0,0,37,0,24,0,24
CarRentalSystem,com.carrental.models,Car,0,80,0,0,0,35,0,23,0,23
CarRentalSystem,com.carrental.database,DatabaseConnection,40,0,0,0,11,0,2,0,2,0
CarRentalSystem,com.carrental.controller,AdminDashboardController,0,110,2,4,0,27,2,7,0,6
CarRentalSystem,com.carrental.controller,CarController,18,59,0,8,4,16,2,9,2,5
CarRentalSystem,com.carrental.controller,BookingWebController,11,73,1,3,3,22,2,3,1,2
CarRentalSystem,com.carrental.controller,InsuranceRestController,0,35,0,2,0,10,0,6,0,5
CarRentalSystem,com.carrental.controller,AdminController,118,3,4,0,30,1,10,1,8,1
CarRentalSystem,com.carrental.controller,UserRestController,0,25,0,0,0,8,0,3,0,3
CarRentalSystem,com.carrental.controller,RentalHistoryController,0,35,1,1,0,10,1,2,0,2
CarRentalSystem,com.carrental.controller,CarApiController,33,134,8,10,11,31,8,8,2,5
CarRentalSystem,com.carrental.controller,AuthController,12,43,2,6,4,13,2,7,0,5
CarRentalSystem,com.carrental.controller,UserController,0,82,0,0,0,20,0,8,0,8
CarRentalSystem,com.carrental.controller,InsuranceController,0,76,0,4,0,21,0,9,0,7
CarRentalSystem,com.carrental.controller,BookingController,21,121,0,2,8,29,1,10,1,9
CarRentalSystem,com.carrental.config,SecurityConfig,0,91,0,0,0,22,0,7,0,7
CarRentalSystem,com.carrental.service,BookingService,165,56,5,1,37,14,13,7,10,7
CarRentalSystem,com.carrental.service,CustomUserDetailsService,0,46,0,2,0,11,0,4,0,3
CarRentalSystem,com.carrental.service,InsuranceService,0,26,0,0,0,7,0,5,0,5
CarRentalSystem,com.carrental.service,CarService,94,39,14,2,19,9,14,7,3,6
CarRentalSystem,com.carrental.service,PaymentGatewayService,0,27,0,3,0,7,0,6,0,4
CarRentalSystem,com.carrental.service,UserService,4,99,1,5,1,22,1,10,0,8
CarRentalSystem,com.carrental.gateway,PayPalGateway,0,5,0,0,0,2,0,2,0,2
CarRentalSystem,com.carrental.gateway,CreditCardGateway,0,5,0,0,0,2,0,2,0,2
